symbol,covered_days,missing_days,min_date_in_window,max_date_in_window
600249,58,2,2026-03-23,2026-06-18
600265,59,1,2026-03-23,2026-06-18
600302,59,1,2026-03-23,2026-06-18
600323,58,2,2026-03-23,2026-06-18
600337,59,1,2026-03-23,2026-06-18
600340,59,1,2026-03-23,2026-06-18
600358,59,1,2026-03-23,2026-06-18
600360,59,1,2026-03-23,2026-06-18
600370,59,1,2026-03-23,2026-06-18
600421,41,19,2026-03-23,2026-06-18
600423,59,1,2026-03-23,2026-06-18
600476,59,1,2026-03-23,2026-06-18
600491,59,1,2026-03-23,2026-06-18
600537,59,1,2026-03-23,2026-06-18
600543,59,1,2026-03-23,2026-06-18
600581,59,1,2026-03-23,2026-06-18
600599,37,23,2026-03-27,2026-06-18
600608,36,24,2026-03-23,2026-06-18
600636,41,19,2026-03-23,2026-06-18
600678,59,1,2026-03-23,2026-06-18
600696,41,19,2026-03-23,2026-06-18
600721,55,5,2026-03-23,2026-06-18
600730,59,1,2026-03-23,2026-06-18
600734,59,1,2026-03-23,2026-06-18
600735,36,24,2026-04-27,2026-06-18
600745,59,1,2026-03-23,2026-06-18
600753,59,1,2026-03-23,2026-06-18
600759,59,1,2026-03-23,2026-06-18
600818,59,1,2026-03-23,2026-06-18
600889,59,1,2026-03-23,2026-06-18
600958,50,10,2026-03-23,2026-06-18
600965,59,1,2026-03-23,2026-06-18
601003,52,8,2026-03-23,2026-06-18
601010,57,3,2026-03-23,2026-06-18
601020,55,5,2026-03-23,2026-06-18
601718,59,1,2026-03-23,2026-06-18
603007,59,1,2026-03-23,2026-06-18
603008,59,1,2026-03-23,2026-06-18
603021,59,1,2026-03-23,2026-06-18
603182,55,5,2026-03-23,2026-06-18
603189,59,1,2026-03-23,2026-06-18
603261,59,1,2026-03-23,2026-06-18
603268,59,1,2026-03-23,2026-06-18
603272,59,1,2026-03-23,2026-06-18
603311,55,5,2026-03-23,2026-06-18
603359,59,1,2026-03-23,2026-06-18
603378,59,1,2026-03-23,2026-06-18
603429,59,1,2026-03-24,2026-06-18
603557,59,1,2026-03-23,2026-06-18
603718,59,1,2026-03-23,2026-06-18
603721,59,1,2026-03-23,2026-06-18
603729,59,1,2026-03-23,2026-06-18
603779,55,5,2026-03-23,2026-06-18
603789,59,1,2026-03-23,2026-06-18
603813,59,1,2026-03-23,2026-06-18
603828,59,1,2026-03-23,2026-06-18
603843,55,5,2026-03-23,2026-06-18
603922,59,1,2026-03-23,2026-06-18
603933,50,10,2026-03-23,2026-06-18
603950,50,10,2026-03-23,2026-06-18
603959,59,1,2026-03-23,2026-06-18
605081,36,24,2026-03-23,2026-06-18
605336,59,1,2026-03-23,2026-06-18
605555,56,4,2026-03-23,2026-06-18
688022,59,1,2026-03-23,2026-06-18
688033,59,1,2026-03-23,2026-06-18
688066,59,1,2026-03-23,2026-06-18
688175,54,6,2026-03-31,2026-06-18
688189,59,1,2026-03-23,2026-06-18
688193,55,5,2026-03-23,2026-06-18
688201,59,1,2026-03-23,2026-06-18
688270,59,1,2026-03-23,2026-06-18
688496,58,2,2026-03-23,2026-06-18
688511,59,1,2026-03-23,2026-06-18
688531,50,10,2026-03-23,2026-06-18
688622,59,1,2026-03-23,2026-06-18
688693,55,5,2026-03-30,2026-06-18
